Area,mnemonic,2016,2017,2018,2019,2020,2021,2022
ualad19:Bexley,E09000004,244006,244494,245244,246622,246924,246637,247835
ualad19:Brent,E09000005,339524,342439,345558,347424,343988,339248,341221
ualad19:Bromley,E09000006,327701,329134,330367,331192,331247,329899,329578
ualad19:Croydon,E09000008,384382,385567,386999,390643,392101,390691,392224
ualad19:Ealing,E09000009,362163,362670,364208,367284,367936,366762,369937
ualad19:Enfield,E09000010,333295,333077,334000,335151,333149,329876,327224
ualad19:Greenwich,E09000011,278768,282376,285773,288205,288384,289537,291080
ualad19:Harrow,E09000015,257317,257881,259861,262065,262281,261159,261185
ualad19:Havering,E09000016,254487,257429,259229,261296,261906,262086,264703
ualad19:Hillingdon,E09000017,297451,299469,302263,305641,306460,305107,310681
ualad19:Hounslow,E09000018,278601,281117,285430,289652,289773,288164,290488
ualad19:Kingston upon Thames,E09000021,168617,168781,168729,169797,169770,167992,168302
ualad19:Merton,E09000024,215514,215431,216171,217219,217101,215426,214709
ualad19:Redbridge,E09000026,304369,305937,308841,311780,311750,310130,310911
ualad19:Richmond upon Thames,E09000027,196293,196849,197119,198185,197797,195315,194894
ualad19:Sutton,E09000029,203299,204824,206286,208516,209921,209617,210053
ualad19:Waltham Forest,E09000031,277081,278105,279795,281015,279527,278147,275887
ualad19:Bracknell Forest,E06000036,119553,120164,121046,121660,123188,125195,126881
ualad19:Brighton and Hove,E06000043,279796,279500,281250,279920,278496,276454,277965
ualad19:Isle of Wight,E06000046,139650,141277,141665,141764,140915,140885,140794
ualad19:Medway,E06000035,277504,278652,278827,279852,280364,279903,282702
ualad19:Milton Keynes,E06000042,274231,276588,278892,281434,283707,288312,292180
ualad19:Portsmouth,E06000044,209951,210965,211215,210412,209142,207119,208420
ualad19:Reading,E06000038,171750,173047,174484,174288,173879,173371,174820
ualad19:Slough,E06000039,152565,154573,155915,157632,158281,158448,159182
ualad19:Southampton,E06000045,248662,250492,250803,249428,248679,247672,252689
ualad19:West Berkshire,E06000037,160551,160729,160953,160883,161026,161864,162215
ualad19:Windsor and Maidenhead,E06000040,152085,152648,153470,153893,153991,153922,154738
ualad19:Wokingham,E06000041,163797,165664,168734,171789,174708,178231,180967
ualad19:Aylesbury Vale,E07000004,-,-,-,-,-,-,-
ualad19:Chiltern,E07000005,-,-,-,-,-,-,-
ualad19:South Bucks,E07000006,-,-,-,-,-,-,-
ualad19:Wycombe,E07000007,-,-,-,-,-,-,-
ualad19:Eastbourne,E07000061,102610,102964,102544,102754,101984,101601,102247
ualad19:Hastings,E07000062,92347,92016,91963,91570,91130,90974,90622
ualad19:Lewes,E07000063,100062,100434,100589,100813,100443,100166,100677
ualad19:Rother,E07000064,92314,92904,92832,92581,92734,93409,94162
ualad19:Wealden,E07000065,156056,156379,156791,157543,158291,160711,163012
